Pair ID,Schedule Type,Order Number,Scene Number,Actors,Equipment,Location,Duration
28,Schedule Plan 2,2,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
28,Schedule Plan 2,3,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
28,Schedule Plan 2,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
28,Schedule Plan 2,5,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
29,Schedule Plan 1,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
29,Schedule Plan 1,2,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
29,Schedule Plan 1,3,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
29,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
29,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
29,Schedule Plan 2,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
29,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
29,Schedule Plan 2,3,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
29,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
29,Schedule Plan 2,5,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
30,Schedule Plan 1,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
30,Schedule Plan 1,2,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
30,Schedule Plan 1,3,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
30,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
30,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
30,Schedule Plan 2,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
30,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
30,Schedule Plan 2,3,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
30,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
30,Schedule Plan 2,5,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
31,Schedule Plan 1,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
31,Schedule Plan 1,2,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
31,Schedule Plan 1,3,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
31,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
31,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
31,Schedule Plan 2,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
31,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
31,Schedule Plan 2,3,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
31,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
31,Schedule Plan 2,5,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
32,Schedule Plan 1,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
32,Schedule Plan 1,2,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
32,Schedule Plan 1,3,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
32,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
32,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
32,Schedule Plan 2,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
32,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
32,Schedule Plan 2,3,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
32,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
32,Schedule Plan 2,5,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
33,Schedule Plan 1,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
33,Schedule Plan 1,2,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
33,Schedule Plan 1,3,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
33,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
33,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
33,Schedule Plan 2,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
33,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
33,Schedule Plan 2,3,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
33,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
33,Schedule Plan 2,5,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
34,Schedule Plan 1,1,Scene 1,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Bellevue,3h
34,Schedule Plan 1,2,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
34,Schedule Plan 1,3,Scene 3,"Casey Johnson, Morgan Lee","Drone J, Camera D",Bahnhofstrasse,1h
34,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
34,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
34,Schedule Plan 2,1,Scene 1,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Bellevue,3h
34,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
34,Schedule Plan 2,3,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
34,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
34,Schedule Plan 2,5,Scene 3,"Casey Johnson, Morgan Lee","Drone J, Camera D",Bahnhofstrasse,1h
35,Schedule Plan 1,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
35,Schedule Plan 1,2,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
35,Schedule Plan 1,3,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
35,Schedule Plan 1,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
35,Schedule Plan 1,5,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
35,Schedule Plan 2,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
35,Schedule Plan 2,2,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
35,Schedule Plan 2,3,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
35,Schedule Plan 2,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
35,Schedule Plan 2,5,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
36,Schedule Plan 1,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
36,Schedule Plan 1,2,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
36,Schedule Plan 1,3,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
36,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
36,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
36,Schedule Plan 2,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
36,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
36,Schedule Plan 2,3,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
36,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
36,Schedule Plan 2,5,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
37,Schedule Plan 1,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
37,Schedule Plan 1,2,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
37,Schedule Plan 1,3,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
37,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
37,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
37,Schedule Plan 2,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
37,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
37,Schedule Plan 2,3,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
37,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
37,Schedule Plan 2,5,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
38,Schedule Plan 1,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
38,Schedule Plan 1,2,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
38,Schedule Plan 1,3,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
38,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
38,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
38,Schedule Plan 2,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
38,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
38,Schedule Plan 2,3,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
38,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
38,Schedule Plan 2,5,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
39,Schedule Plan 1,1,Scene 1,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Bellevue,3h
39,Schedule Plan 1,2,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
39,Schedule Plan 1,3,Scene 3,"Casey Johnson, Morgan Lee","Drone J, Camera D",Bahnhofstrasse,1h
39,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
39,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
39,Schedule Plan 2,1,Scene 1,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Bellevue,3h
39,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
39,Schedule Plan 2,3,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
39,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
39,Schedule Plan 2,5,Scene 3,"Casey Johnson, Morgan Lee","Drone J, Camera D",Bahnhofstrasse,1h
40,Schedule Plan 1,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
40,Schedule Plan 1,2,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
40,Schedule Plan 1,3,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
40,Schedule Plan 1,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
40,Schedule Plan 1,5,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
40,Schedule Plan 2,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
40,Schedule Plan 2,2,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
40,Schedule Plan 2,3,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
40,Schedule Plan 2,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
40,Schedule Plan 2,5,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
41,Schedule Plan 1,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
41,Schedule Plan 1,2,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
41,Schedule Plan 1,3,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
41,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
41,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
41,Schedule Plan 2,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
41,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
41,Schedule Plan 2,3,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
41,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
41,Schedule Plan 2,5,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
42,Schedule Plan 1,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
42,Schedule Plan 1,2,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
42,Schedule Plan 1,3,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
42,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
42,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
42,Schedule Plan 2,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
42,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
42,Schedule Plan 2,3,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
42,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
42,Schedule Plan 2,5,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
43,Schedule Plan 1,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
43,Schedule Plan 1,2,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
43,Schedule Plan 1,3,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
43,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
43,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
43,Schedule Plan 2,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
43,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
43,Schedule Plan 2,3,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
43,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
43,Schedule Plan 2,5,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
44,Schedule Plan 1,1,Scene 1,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Bellevue,3h
44,Schedule Plan 1,2,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
44,Schedule Plan 1,3,Scene 3,"Casey Johnson, Morgan Lee","Drone J, Camera D",Bahnhofstrasse,1h
44,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
44,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
44,Schedule Plan 2,1,Scene 1,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Bellevue,3h
44,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
44,Schedule Plan 2,3,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
44,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
44,Schedule Plan 2,5,Scene 3,"Casey Johnson, Morgan Lee","Drone J, Camera D",Bahnhofstrasse,1h
45,Schedule Plan 1,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
45,Schedule Plan 1,2,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
45,Schedule Plan 1,3,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
45,Schedule Plan 1,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
45,Schedule Plan 1,5,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
45,Schedule Plan 2,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
45,Schedule Plan 2,2,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
45,Schedule Plan 2,3,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
45,Schedule Plan 2,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
45,Schedule Plan 2,5,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
46,Schedule Plan 1,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
46,Schedule Plan 1,2,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
46,Schedule Plan 1,3,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
46,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
46,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
46,Schedule Plan 2,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
46,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
46,Schedule Plan 2,3,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
46,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
46,Schedule Plan 2,5,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
47,Schedule Plan 1,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
47,Schedule Plan 1,2,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
47,Schedule Plan 1,3,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
47,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
47,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
47,Schedule Plan 2,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
47,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
47,Schedule Plan 2,3,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
47,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
47,Schedule Plan 2,5,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
48,Schedule Plan 1,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
48,Schedule Plan 1,2,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
48,Schedule Plan 1,3,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
48,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
48,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
48,Schedule Plan 2,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
48,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
48,Schedule Plan 2,3,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
48,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
48,Schedule Plan 2,5,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
49,Schedule Plan 1,1,Scene 1,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Bellevue,3h
49,Schedule Plan 1,2,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
49,Schedule Plan 1,3,Scene 3,"Casey Johnson, Morgan Lee","Drone J, Camera D",Bahnhofstrasse,1h
49,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
49,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
49,Schedule Plan 2,1,Scene 1,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Bellevue,3h
49,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
49,Schedule Plan 2,3,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
49,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
49,Schedule Plan 2,5,Scene 3,"Casey Johnson, Morgan Lee","Drone J, Camera D",Bahnhofstrasse,1h
50,Schedule Plan 1,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
50,Schedule Plan 1,2,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
50,Schedule Plan 1,3,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
50,Schedule Plan 1,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
50,Schedule Plan 1,5,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
50,Schedule Plan 2,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
50,Schedule Plan 2,2,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
50,Schedule Plan 2,3,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
50,Schedule Plan 2,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
50,Schedule Plan 2,5,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
